Season,Name,Position,Team,Birth.Date,GP,EVG,EVA1,EVA2,EVPTS,EVGF.PERC,TEAM.EVGF.PERC,EVGF.PERC.REL,PRIMARY.EVPTS,TEAM.PRIMARY.EVPTS,PERC.TEAM.EVPrPTS,IPP.EV,IPPP.EV,Draft.Eligible
2017 - 18 Regular Season,Parker Kelly,F,Prince Albert Raiders,1999-05-14,69,19,19,6,44,0.56,0.5,0.06,38,347,0.11,0.62,0.54,NO
2017 - 18 Regular Season,Alex Overhardt,F,Portland Winterhawks,1997-01-15,70,8,9,7,24,0.61,0.57,0.04,17,345,0.05,0.5,0.35,NO
2017 - 18 Regular Season,Evan Weinger,F,Brandon Wheat Kings,1997-04-18,65,18,18,5,41,0.52,0.52,0,36,343,0.1,0.79,0.69,NO
2017 - 18 Regular Season,Brendan De Jong,D,Portland Winterhawks,1998-03-23,68,5,4,6,15,0.48,0.57,-0.09,9,345,0.03,0.29,0.17,NO
2017 - 18 Regular Season,Wyatt Sloboshan,F,Regina Pats,1997-01-24,36,2,1,4,7,0.4,0.52,-0.12,3,290,0.01,0.44,0.19,NO
2017 - 18 Regular Season,Max Martin,D,Prince Albert Raiders,1999-07-25,72,6,8,7,21,0.51,0.5,0.01,14,347,0.04,0.34,0.23,NO
2017 - 18 Regular Season,Justin  Almeida,F,Moose Jaw Warriors,1999-02-06,72,22,21,15,58,0.63,0.61,0.02,43,446,0.1,0.76,0.57,NO
2017 - 18 Regular Season,Ethan O'Rourke,F,Everett Silvertips,1999-02-25,66,6,9,2,17,0.51,0.43,0.08,15,294,0.05,0.68,0.6,NO
2017 - 18 Regular Season,Devante Stephens,D,Kelowna Rockets,1997-01-02,0,0,0,0,0,,0.52,,0,336,0,,,NO
2017 - 18 Regular Season,Cal Foote,D,Kelowna Rockets,1998-12-13,60,16,12,6,34,0.59,0.52,0.07,28,336,0.08,0.44,0.36,NO
